('GetFileAttributesW'; 'GetLongPathNameW'),malicious,benign
('HeapFree'; 'GetFullPathNameW'),malicious,benign
('GetFullPathNameW'; 'RegQueryValueExW'),malicious,benign
('RegEnumKeyW'; 'GetFullPathNameW'),malicious,benign
('CreateProcessW'; 'SetThreadPriority'),benign,malicious
('HeapFree'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'HeapAlloc'),malicious,benign
('RegEnumKeyW'; 'GetFileAttributesW'),malicious,benign
('GetFileAttributesW'; 'RegOpenKeyExA'),malicious,benign
('OpenProcess'; 'GetCurrentThreadId'),benign,malicious
('GetEnvironmentVariableW'; 'SetThreadPriority'),benign,malicious
('RegOpenKeyExA'; 'ReadFile'),malicious,benign
('RegSetValueExW'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'GetCurrentThreadId'),malicious,benign
('CreateProcessW'; 'OpenProcess'),benign,malicious
('OpenProcess'; 'RegSetValueExW'),benign,malicious
('GetFileAttributesW'; 'IsBadStringPtrW'),malicious,benign
('GetFileAttributesW'; 'LocalFree'),malicious,benign
('RegSetValueExW'; 'GetLongPathNameW'),malicious,benign
('GetFileAttributesW'; 'GetCurrentThread'),malicious,benign
('RegCloseKey'; 'SetThreadPriority'),benign,malicious
('OpenProcess'; 'LocalAlloc'),benign,malicious
('IsBadWritePtr'; 'SetThreadPriority'),benign,malicious
('GetEnvironmentVariableW'; 'OpenProcess'),benign,malicious
('IsBadReadPtr'; 'GetLongPathNameW'),malicious,benign
('GetFullPathNameW'; 'LocalAlloc'),malicious,benign
('IsBadStringPtrW'; 'SetThreadPriority'),benign,malicious
('GetFullPathNameW'; 'GetCurrentProcessId'),malicious,benign
('GetFileAttributesW'; 'GlobalFree'),malicious,benign
('GetFileAttributesW'; 'IsBadWritePtr'),malicious,benign
('GetFileAttributesW'; 'RegOpenKeyExW'),malicious,benign
('RegEnumValueW'; 'GetLongPathNameW'),malicious,benign
('GetLongPathNameW'; 'LocalFree'),malicious,benign
('OpenProcess'; 'LoadLibraryA'),benign,malicious
('GetFileAttributesW'; 'IsBadReadPtr'),malicious,benign
('LocalAlloc'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'LoadLibraryA'),malicious,benign
('RegOpenKeyExA'; 'LoadLibraryW'),benign,malicious
('LocalAlloc'; 'GetLongPathNameW'),malicious,benign
('GetCurrentThread'; 'OpenProcess'),benign,malicious
('RegCloseKey'; 'GetFullPathNameW'),malicious,benign
('IsBadWritePtr'; 'GetFullPathNameW'),malicious,benign
('RegCloseKey'; 'GetFileAttributesW'),malicious,benign
('IsBadWritePtr'; 'GetFileAttributesW'),malicious,benign
('SetThreadPriority'; 'RegQueryValueExW'),benign,malicious
('RegSetValueExW'; 'GlobalReAlloc'),malicious,benign
('RegSetValueExW'; 'SetThreadPriority'),benign,malicious
('GetLongPathNameW'; 'IsBadWritePtr'),malicious,benign
('IsBadStringPtrW'; 'GetFullPathNameW'),malicious,benign
('SetThreadPriority'; 'HeapAlloc'),benign,malicious
('RegCreateKeyExW'; 'IsBadStringPtrW'),benign,malicious
('GetLongPathNameW'; 'IsBadReadPtr'),malicious,benign
('RegCloseKey'; 'GetLongPathNameW'),malicious,benign
('IsBadWritePtr'; 'GetLongPathNameW'),malicious,benign
('IsBadStringPtrW'; 'GetFileAttributesW'),malicious,benign
('IsBadReadPtr'; 'SetThreadPriority'),benign,malicious
('GetFileAttributesW'; 'GetFullPathNameW'),malicious,benign
('RegQueryValueW'; 'GetLongPathNameW'),malicious,benign
('IsBadStringPtrW'; 'GetLongPathNameW'),malicious,benign
('SetThreadPriority'; 'GetCurrentThreadId'),benign,malicious
('GetFileAttributesW'; 'GetFileAttributesW'),malicious,benign
('RegSetValueExW'; 'OpenProcess'),benign,malicious
('OpenProcess'; 'RegQueryValueExW'),benign,malicious
('GlobalSize'; 'SetThreadPriority'),benign,malicious
('OpenProcess'; 'HeapAlloc'),benign,malicious
('RegEnumValueW'; 'SetThreadPriority'),benign,malicious
('OpenProcess'; 'RegCloseKey'),benign,malicious
('SetThreadPriority'; 'RegSetValueExW'),benign,malicious
('IsBadReadPtr'; 'OpenProcess'),benign,malicious
('GetLongPathNameW'; 'GetCurrentThreadId'),malicious,benign
('GetFullPathNameW'; 'GlobalFree'),malicious,benign
('RegCreateKeyExW'; 'SetThreadPriority'),benign,malicious
('GlobalFree'; 'GetFullPathNameW'),malicious,benign
('GetFileAttributesW'; 'GlobalUnlock'),malicious,benign
('GetFullPathNameW'; 'RegOpenKeyExW'),malicious,benign
('GetFullPathNameW'; 'RegCloseKey'),malicious,benign
('SetThreadPriority'; 'LocalAlloc'),benign,malicious
('GlobalFree'; 'GetFileAttributesW'),malicious,benign
('RegOpenKeyExA'; 'GetLongPathNameW'),malicious,benign
('LocalAlloc'; 'SetThreadPriority'),benign,malicious
('GetFileAttributesW'; 'GetEnvironmentVariableW'),malicious,benign
('RegSetValueExW'; 'GetFullPathNameW'),malicious,benign
('OpenProcess'; 'HeapFree'),benign,malicious
('GetLongPathNameW'; 'RegSetValueExW'),malicious,benign
('LocalFree'; 'GetLongPathNameW'),malicious,benign
('GlobalFree'; 'GetLongPathNameW'),malicious,benign
('RegEnumValueW'; 'OpenProcess'),benign,malicious
('GlobalLock'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'HeapFree'),malicious,benign
('GetLongPathNameW'; 'LocalAlloc'),malicious,benign
('IsBadReadPtr'; 'GetFullPathNameW'),malicious,benign
('GetCurrentProcessId'; 'SetThreadPriority'),benign,malicious
('RegOpenKeyExW'; 'LoadLibraryW'),benign,malicious
('IsBadReadPtr'; 'GetFileAttributesW'),malicious,benign
('GlobalLock'; 'GetLongPathNameW'),malicious,benign
('LocalAlloc'; 'OpenProcess'),benign,malicious
('RegQueryValueExW'; 'SetThreadPriority'),benign,malicious
('GetLongPathNameW'; 'GlobalUnlock'),malicious,benign
('GlobalSize'; 'GetFullPathNameW'),malicious,benign
('GlobalAlloc'; 'SetThreadPriority'),benign,malicious
('OpenProcess'; 'RegCreateKeyExW'),benign,malicious
('RegQueryValueW'; 'SetThreadPriority'),benign,malicious
('RegEnumValueW'; 'GetFullPathNameW'),malicious,benign
('GlobalSize'; 'GetFileAttributesW'),malicious,benign
('RegEnumValueW'; 'GetFileAttributesW'),malicious,benign
('GetFileAttributesW'; 'CreateProcessW'),malicious,benign
('GetLongPathNameW'; 'LoadLibraryA'),malicious,benign
('GlobalSize'; 'GetLongPathNameW'),malicious,benign
('RegCloseKey'; 'OpenProcess'),benign,malicious
('IsBadWritePtr'; 'OpenProcess'),benign,malicious
('GetFullPathNameW'; 'GetFileAttributesW'),malicious,benign
('LocalAlloc'; 'GetFullPathNameW'),malicious,benign
('GetFullPathNameW'; 'LoadLibraryExW'),malicious,benign
('RegQueryValueW'; 'OpenProcess'),benign,malicious
('GetFullPathNameW'; 'GetLongPathNameW'),malicious,benign
('IsBadStringPtrW'; 'OpenProcess'),benign,malicious
('RegOpenKeyExA'; 'SetThreadPriority'),benign,malicious
('GetFileAttributesW'; 'RegQueryValueExW'),malicious,benign
('GetCurrentProcessId'; 'GetFullPathNameW'),malicious,benign
('GetFileAttributesW'; 'HeapAlloc'),malicious,benign
('RegOpenKeyExW'; 'GetFileAttributesW'),malicious,benign
('GetCurrentProcessId'; 'GetFileAttributesW'),malicious,benign
('LocalFree'; 'SetThreadPriority'),benign,malicious
('GlobalFree'; 'SetThreadPriority'),benign,malicious
('GetFullPathNameW'; 'RegOpenKeyExA'),malicious,benign
('RegSetValueExW'; 'GlobalSize'),malicious,benign
('RegQueryValueExW'; 'GetFullPathNameW'),malicious,benign
('GlobalAlloc'; 'GetFullPathNameW'),malicious,benign
('RegQueryValueExW'; 'GetFileAttributesW'),malicious,benign
('RegOpenKeyExW'; 'GetLongPathNameW'),malicious,benign
('GetCurrentProcessId'; 'GetLongPathNameW'),malicious,benign
('RegQueryValueW'; 'GetFullPathNameW'),malicious,benign
('GlobalAlloc'; 'GetFileAttributesW'),malicious,benign
('RegOpenKeyExA'; 'OpenProcess'),benign,malicious
('GetFileAttributesW'; 'GetCurrentThreadId'),malicious,benign
('GlobalLock'; 'SetThreadPriority'),benign,malicious
('OpenProcess'; 'GetCurrentThread'),benign,malicious
('SetThreadPriority'; 'RegCloseKey'),benign,malicious
('RegQueryValueW'; 'GetFileAttributesW'),malicious,benign
('GetFullPathNameW'; 'IsBadStringPtrW'),malicious,benign
('GetFullPathNameW'; 'LocalFree'),malicious,benign
('RegQueryValueExW'; 'GetLongPathNameW'),malicious,benign
('GetFullPathNameW'; 'GetCurrentThread'),malicious,benign
('GlobalAlloc'; 'GetLongPathNameW'),malicious,benign
('LocalFree'; 'OpenProcess'),benign,malicious
('GlobalFree'; 'OpenProcess'),benign,malicious
('HeapAlloc'; 'SetThreadPriority'),benign,malicious
